'	O
AP-NR-08-16-90	O
2041EDT	O
u	O
i	O
AM-GulfRdp	O
3rdLd-Writethru	O
a0723	O
08-16	O
1350	O
AM-Gulf	O
Rdp	O
,	O
3rd	O
Ld-Writethru	O
,	O
a0723,1392	O
Gulf	O
Showdown	O
Takes	O
More	O
Personal	O
Tack	O
:	O
Saddam	O
Calls	O
Bush	O
a	O
`	O
Liar	O
'	O
Eds	O
:	O
LEADS	O
throughout	O
to	O
RECAST	O
,	O
ADDS	O
background	O
on	O
oil	O
reserves	O
,	O
food	O
imports	O
,	O
UPDATES	O
with	O
State	O
Department	O
reax	O
to	O
Saddam	O
,	O
EDITS	O
to	O
trim	O
.	O

No	O
pickup	O
LaserPhotos	O
By	O
ROBERT	O
DVORCHAK	O
Associated	O
Press	O
Writer	O
The	O
Persian	O
Gulf	O
showdown	EVENT
between	O
Iraq	O
and	O
the	O
United	O
States	O
took	EVENT
a	O
more	O
personal	O
turn	O
Thursday	O
when	O
Iraq	O
's	O
Saddam	O
Hussein	O
called	EVENT
President	O
Bush	O
a	O
liar	EVENT
and	O
said	EVENT
the	O
outbreak	EVENT
of	O
holy	O
war	EVENT
could	O
bring	EVENT
thousands	O
of	O
Americans	O
home	O
in	EVENT
coffins	O
.	O

Bush	O
,	O
commenting	EVENT
on	O
the	O
two-week-old	O
gulf	O
crisis	EVENT
from	O
his	O
vacation	O
home	O
in	O
Maine	O
,	O
said	EVENT
he	O
saw	EVENT
little	O
reason	EVENT
to	O
be	O
optimistic	EVENT
about	O
a	O
settlement	EVENT
of	O
the	O
dispute	EVENT
,	O
which	O
stems	EVENT
from	O
Iraq	O
's	O
invasion	EVENT
of	O
oil-wealthy	O
Kuwait	O
and	O
its	O
subsequent	O
military	O
buildup	EVENT
on	O
the	O
border	O
of	O
Saudi	O
Arabia	O
.	O

After	O
a	O
two-hour	O
meeting	EVENT
at	O
his	O
Kennebunkport	O
home	O
with	O
King	O
Hussein	O
of	O
Jordan	O
,	O
Bush	O
said	EVENT
,	O
``	O
I	O
did	O
not	O
come	O
away	O
with	O
any	O
feeling	O
of	O
hope	O
''	O
that	O
Iraq	O
would	O
withdraw	EVENT
its	O
army	O
from	O
Kuwait	O
.	O

Bush	O
also	O
said	EVENT
Thursday	O
that	O
King	O
Hussein	O
assured	EVENT
him	O
Jordan	O
would	O
close	EVENT
the	O
last	O
remaining	O
free	O
port	O
to	O
most	O
Iraqi	O
trade	O
as	O
the	O
economic	O
embargo	EVENT
on	O
materials	O
to	O
Iraq	O
continued	EVENT
unabated	EVENT
.	O

Foodstuffs	O
are	O
among	O
the	O
goods	O
being	O
blocked	EVENT
from	O
entry	EVENT
;	O
Iraq	O
imports	O
about	O
three-quarters	O
of	O
its	O
food	O
.	O

Pentagon	O
sources	O
in	O
Washington	O
meanwhile	O
said	EVENT
the	O
Bush	O
administration	O
plans	EVENT
to	O
deploy	EVENT
45,000	O
Marines	O
to	O
the	O
region	O
to	O
back	EVENT
up	O
the	O
thousands	O
of	O
Army	O
,	O
Navy	O
and	O
Air	O
Force	O
troops	O
already	O
in	EVENT
place	O
in	O
the	O
gulf	O
and	O
the	O
Saudi	O
desert	O
.	O

At	O
a	O
news	O
conference	EVENT
,	O
Secretary	O
of	O
State	O
James	O
A.	O
Baker	O
III	O
said	EVENT
Jordan	O
``	O
is	O
seeking	EVENT
some	O
guidance	EVENT
''	O
about	O
a	O
provision	EVENT
in	O
the	O
U.N.-backed	O
trade	O
embargo	EVENT
that	O
allows	EVENT
food	O
for	O
humanitarian	O
purposes	O
.	O

Worries	O
however	O
grew	EVENT
about	O
the	O
safety	EVENT
of	O
Americans	O
and	O
other	O
Westerners	O
trapped	EVENT
in	O
Kuwait	O
.	O

Iraqi	O
military	O
authorities	O
ordered	EVENT
all	O
Americans	O
and	O
Britons	O
in	O
Kuwait	O
to	O
assemble	EVENT
at	O
a	O
hotel	O
,	O
officials	O
said	EVENT
.	O

``	O
Very	O
few	O
''	O
of	O
the	O
2,500	O
Americans	O
in	O
occupied	O
Kuwait	O
complied	EVENT
with	O
the	O
order	O
,	O
a	O
senior	O
U.S.	O
official	O
told	EVENT
The	O
Associated	O
Press	O
.	O

Iraq	O
said	EVENT
the	O
roundup	EVENT
was	O
to	O
protect	EVENT
them	O
from	O
unspecified	O
threats	EVENT
;	O
British	O
Foreign	O
Office	O
minister	O
William	O
Waldegrave	O
called	EVENT
the	O
order	O
``	O
grave	O
and	O
sinister	O
.	O
''	O

``	O
What	O
we	O
fear	EVENT
is	O
that	O
they	O
will	O
be	O
interned	O
somewhere	O
,	O
most	O
likely	O
in	O
Iraq	O
,	O
''	O
Waldegrave	O
said	EVENT
.	O

A	O
total	O
of	O
about	O
3,000	O
Americans	O
,	O
3,000	O
Britons	O
and	O
more	O
than	O
450	O
Japanese	O
are	O
in	EVENT
Iraq	O
and	O
Kuwait	O
.	O

Overall	O
,	O
more	O
than	O
2	O
million	O
foreigners	O
are	O
in	EVENT
both	O
countries	O
.	O

Iraq	O
has	O
called	O
them	O
``	O
restrictees	O
.	O
''	O

In	O
addition	O
to	O
the	O
estimated	O
45,000	O
Marines	O
to	O
ultimately	O
be	O
part	O
of	O
Operation	O
Desert	O
Shield	O
,	O
Stealth	O
fighter	O
planes	O
and	O
the	O
aircraft	O
carrier	O
John	O
F.	O
Kennedy	O
are	O
also	O
headed	EVENT
to	O
Saudi	O
Arabia	O
to	O
protect	EVENT
it	O
from	O
Iraqi	O
expansionism	EVENT
.	O

In	O
Washington	O
,	O
Pentagon	O
spokesman	O
Pete	O
Williams	O
said	EVENT
Iraq	O
has	O
continued	EVENT
to	O
increase	EVENT
its	O
armed	O
forces	O
in	O
Kuwait	O
and	O
they	O
now	O
number	EVENT
about	O
160,000	O
.	O

Saddam	O
has	O
been	O
under	EVENT
international	O
quarantine	O
since	O
his	O
Aug.	O
2	O
power-grab	EVENT
,	O
or	O
what	O
he	O
calls	EVENT
an	O
``	O
eternal	O
merger	EVENT
''	O
with	O
Kuwait	O
.	O

In	O
a	O
long	O
verbal	O
attack	EVENT
read	O
on	O
Iraqi	O
television	O
Thursday	O
,	O
Saddam	O
repeatedly	O
called	EVENT
Bush	O
``	O
a	O
liar	EVENT
''	O
and	O
said	EVENT
a	O
shooting	O
war	EVENT
could	O
produce	EVENT
body	O
bags	O
courtesy	O
of	O
Baghdad	O
.	O

``	O
We	O
continue	EVENT
to	O
pray	EVENT
and	O
pray	EVENT
hard	O
to	O
God	O
so	O
that	O
there	O
will	O
be	O
no	O
confrontation	O
whereby	O
you	O
will	O
receive	O
thousands	O
of	O
Americans	O
wrapped	EVENT
in	O
sad	O
coffins	O
after	O
you	O
had	O
pushed	EVENT
them	O
into	O
a	O
dark	O
tunnel	O
,	O
''	O
Saddam	O
said	EVENT
.	O

He	O
called	EVENT
U.S.	O
soldiers	O
massing	EVENT
in	O
Saudi	O
Arabia	O
the	O
real	O
occupiers	EVENT
in	O
the	O
Persian	O
Gulf	O
.	O

Replied	EVENT
State	O
Department	O
deputy	O
spokesman	O
Richard	O
Boucher	O
,	O
``	O
We	O
have	O
n't	O
really	O
analyzed	O
the	O
statement	EVENT
in	O
detail	O
but	O
it	O
appears	EVENT
to	O
be	O
just	O
another	O
example	O
of	O
his	O
outlandish	O
rhetoric	O
and	O
