BC-Iraq	O
3rdLd-Writethru	O
03-06	O
0642	O
BC-Iraq	O
,	O
3rd	O
Ld-Writethru	O
American	O
Ritter	O
resumes	O
inspections	O
in	O
Iraq	O
UR	O
Eds	O
:	O
AMs	O
;	O
RECASTS	O
throughout	O
with	O
Ritter	O
inspecting	O
three	O
sensitive	O
sites	O
;	O
UN	O
quotes	O
QL	O
UR	O
By	O
LEON	O
BARKHO	O
QC	O
UR	O
Associated	O
Press	O
Writer	O
QC	O
BAGHDAD	O
,	O
Iraq	O
(	O
AP	O
)	O
_	O
An	O
American	O
leader	O
of	O
a	O
U.N.	O
weapons	O
inspection	O
team	O
resumed	EVENT
work	EVENT
in	O
Iraq	O
Friday	O
,	O
nearly	O
two	O
months	O
after	O
his	O
team	O
was	O
effectively	O
blocked	EVENT
.	O

Scott	O
Ritter	O
led	EVENT
his	O
team	O
on	O
a	O
10-hour	O
tour	EVENT
of	O
three	O
suspected	O
weapons	O
sites	O
classified	O
as	O
``	O
sensitive	O
''	O
by	O
the	O
Iraqi	O
authorities	O
,	O
U.N.	O
spokesman	O
Alan	O
Dacey	O
said	EVENT
.	O

``	O
All	O
sites	O
were	O
inspected	EVENT
to	O
the	O
satisfaction	O
of	O
the	O
inspection	O
team	O
and	O
with	O
full	O
cooperation	EVENT
of	O
Iraqi	O
authorities	O
,	O
''	O
Dacey	O
said	EVENT
.	O

At	O
least	O
one	O
of	O
the	O
sensitive	O
sites	O
was	O
a	O
barracks	O
of	O
the	O
elite	O
Republican	O
Guard	O
,	O
a	O
well-placed	O
source	O
told	O
The	O
Associated	O
Press	O
.	O

Previously	O
the	O
Iraqis	O
have	O
resisted	EVENT
attempts	EVENT
to	O
inspect	EVENT
such	O
quarters	O
.	O

The	O
U.N.	O
Security	O
Council	O
has	O
charged	EVENT
the	O
inspectors	O
with	O
verifying	EVENT
that	O
Iraq	O
has	O
destroyed	EVENT
its	O
long-range	O
missiles	O
and	O
weapons	O
of	O
mass	O
destruction	O
.	O

It	O
was	O
the	O
first	O
time	O
that	O
Ritter	O
,	O
who	O
arrived	EVENT
Thursday	O
with	O
some	O
50	O
inspectors	O
for	O
a	O
tour	EVENT
likely	O
to	O
last	EVENT
over	O
a	O
week	O
,	O
had	O
been	O
allowed	EVENT
to	O
carry	EVENT
out	O
an	O
inspection	EVENT
since	O
Jan.	O
13	O
.	O

Then	O
the	O
Baghdad	O
government	O
stopped	EVENT
providing	EVENT
Ritter	O
's	O
team	O
with	O
escorts	O
,	O
making	EVENT
it	O
impossible	O
for	O
him	O
to	O
enter	O
any	O
site	O
.	O

Iraq	O
alleged	EVENT
Ritter	O
was	O
an	O
American	O
spy	O
whose	O
team	O
had	O
a	O
disproportionately	O
high	O
number	O
of	O
Americans	O
and	O
Britons	O
.	O

The	O
official	O
Iraqi	O
News	O
Agency	O
,	O
which	O
gives	O
the	O
daily	O
tally	O
of	O
inspections	O
,	O
did	O
not	O
mention	O
Ritter	O
by	O
name	O
,	O
but	O
said	EVENT
Friday	O
that	O
team	O
no	O
.	O

225	O
_	O
which	O
Ritter	O
heads	O
_	O
made	EVENT
surprise	O
visits	EVENT
to	O
a	O
number	O
of	O
sites	O
and	O
was	O
assisted	EVENT
by	O
aerial	O
surveillance	O
.	O

Five	O
other	O
U.N.	O
inspection	O
teams	O
visited	EVENT
a	O
total	O
of	O
nine	O
other	O
sites	O
,	O
the	O
agency	O
reported	EVENT
.	O

An	O
Iraqi	O
official	O
,	O
speaking	EVENT
on	O
customary	O
condition	O
of	O
anonymity	O
,	O
said	EVENT
Ritter	O
would	O
not	O
try	O
to	O
visit	EVENT
any	O
of	O
the	O
eight	O
presidential	O
sites	O
that	O
Baghdad	O
had	O
placed	EVENT
off-limits	O
to	O
U.N.	O
weapons	O
inspectors	O
.	O

The	O
official	O
said	EVENT
these	O
sites	O
could	O
only	O
be	O
visited	EVENT
by	O
a	O
special	O
team	O
of	O
U.N.	O
monitors	O
and	O
diplomats	O
as	O
laid	EVENT
down	O
by	O
the	O
Feb.	O
23	O
accord	O
signed	EVENT
by	O
U.N.	O
Secretary-General	O
Kofi	O
Annan	O
and	O
Iraqi	O
Deputy	O
Prime	O
Minister	O
Tariq	O
Aziz	O
.	O

Ritter	O
's	O
return	EVENT
is	O
seen	EVENT
as	O
something	O
of	O
a	O
test	EVENT
of	O
that	O
agreement	O
,	O
under	O
which	O
Iraq	O
agreed	EVENT
to	O
give	EVENT
inspectors	O
full	O
access	O
to	O
eight	O
of	O
Saddam	O
Hussein	O
's	O
presidential	O
palaces	O
.	O

The	O
United	O
States	O
had	O
moved	EVENT
additional	O
troops	O
and	O
a	O
naval	O
armada	O
into	O
the	O
Gulf	O
and	O
said	EVENT
it	O
would	O
strike	EVENT
Iraq	O
unless	O
it	O
gave	O
the	O
U.N.	O
arms	O
inspectors	O
unfettered	O
access	O
to	O
all	O
potential	O
weapons	O
sites	O
,	O
including	O
Saddam	O
's	O
palaces	O
.	O

Iraq	O
had	O
argued	EVENT
the	O
presidential	O
sites	O
should	O
be	O
off	EVENT
limits	O
as	O
symbols	O
of	O
sovereignty	O
.	O

A	O
Pentagon	O
spokesman	O
said	EVENT
Thursday	O
that	O
the	O
38,000	O
U.S.	O
troops	O
in	O
the	O
Gulf	O
will	O
remain	O
until	O
Iraq	O
complies	EVENT
with	O
the	O
U.N.	O
Security	O
Council	O
agreement	O
over	O
weapons	O
inspections	O
.	O

``	O
We	O
are	O
going	O
to	O
maintain	EVENT
our	O
forces	O
in	O
the	O
region	O
for	O
the	O
foreseeable	O
future	O
,	O
''	O
said	EVENT
spokesman	O
Kenneth	O
Bacon	O
.	O

The	O
U.N.-Iraq	O
accord	O
was	O
worked	EVENT
out	O
by	O
U.N.	O
Secretary-General	O
Kofi	O
Annan	O
,	O
who	O
appointed	EVENT
a	O
retired	O
Indian	O
diplomat	O
on	O
Thursday	O
as	O
his	O
special	O
representative	O
to	O
Iraq	O
.	O

Prakash	O
Shah	O
,	O
58	O
,	O
a	O
former	O
Indian	O
ambassador	O
to	O
the	O
United	O
Nations	O
,	O
is	O
part	O
of	O
an	O
effort	EVENT
by	O
Annan	O
to	O
expand	EVENT
contacts	O
with	O
the	O
Iraqi	O
leadership	O
.	O

Palace	O
inspections	EVENT
are	O
not	O
expected	O
to	O
start	EVENT
until	O
the	O
new	O
agreement	O
's	O
procedures	O
are	O
in	O
place	EVENT
.	O

U.N.	O
officials	O
in	O
New	O
York	O
on	O
Friday	O
finished	EVENT
drafting	EVENT
the	O
rules	O
,	O
in	O
consultation	EVENT
with	O
Iraqi	O
diplomats	O
.	O

The	O
procedures	O
are	O
due	O
to	O
go	EVENT
before	O
the	O
Security	O
Council	O
next	O
week	O
.	O

The	O
Security	O
Council	O
has	O
said	EVENT
it	O
will	O
not	O
lift	O
the	O
sweeping	O
sanctions	O
imposed	EVENT
on	O
Iraq	O
after	O
its	O
1990	O
invasion	EVENT
of	O
Kuwait	O
until	O
the	O
U.N.	O
inspectors	O
certify	EVENT
that	O
Baghdad	O
has	O
eliminated	EVENT
its	O
weapons	O
of	O
mass	O
destruction	O
.	O

UR	O
lb-jbm	O
(	O
PROFILE	O
(	O
WS	O
SL	O
:	O
BC-Iraq	O
,	O
3rd	O
Ld-Writethru	O
;	O
CT	O
:	O
i	O
;	O
(	O
REG	O
:	O
MEST	O
;	O
)	O
(	O
REG	O
:	O
ENGL	O
;	O
)	O
(	O
REG	O
:	O
EURO	O
;	O
)	O
(	O
REG	O
:	O
BRIT	O
;	O
)	O
(	O
REG	O
:	O
SCAN	O
;	O
)	O
(	O
LANG	O
:	O
ENGLISH	O
;	O
)	O
)	O
)	O
AP-NY-03-06-98	O
1319EST	O
'	O
