'	O
910225-0066	O
.	O

Breakthrough	O
:	O
U.S.	O
Hails	O
Invasion	O
Of	O
Kuwait	O
and	O
Iraq	O
As	O
`	O
Dramatic	O
Success	O
'	O
--	O
-	O
Troops	O
Meet	O
Little	O
Resistance	O
But	O
Allied	O
Forces	O
Face	O
Political	O
,	O
Military	O
Risks	O
--	O
-	O
Long	O
Columns	O
of	O
Iraqi	O
POWs	O
--	O
--	O
By	O
Gerald	O
F.	O
Seib	O
Staff	O
Reporter	O
of	O
The	O
Wall	O
Street	O
Journal	O
02/25/91	O
WALL	O
STREET	O
JOURNAL	O
(	O
J	O
)	O
,	O
PAGE	O
A1	O
MDEST	O
EUROP	O
FREST	O
EXECUTIVE	O
(	O
EXE	O
)	O
DEFENSE	O
DEPARTMENT	O
(	O
DEF	O
)	O
STATE	O
DEPARTMENT	O
(	O
STD	O
)	O
WASHINGTON	O
--	O
With	O
the	O
ground	O
battle	EVENT
to	O
liberate	EVENT
Kuwait	O
proceeding	EVENT
with	O
surprising	O
speed	O
and	O
success	O
,	O
Bush	O
administration	O
officials	O
are	O
optimistic	O
the	O
Persian	O
Gulf	O
war	EVENT
can	O
begin	EVENT
winding	EVENT
down	O
in	O
a	O
matter	O
of	O
days	O
.	O

The	O
enormous	O
ground	O
offensive	EVENT
by	O
U.S.	O
Marines	O
and	O
Army	O
troops	O
,	O
at	O
least	O
during	O
its	O
first	O
24	O
hours	O
,	O
met	EVENT
only	O
sporadic	O
Iraqi	O
resistance	EVENT
as	O
it	O
quickly	O
penetrated	EVENT
deep	O
into	O
Kuwait	O
and	O
parts	O
of	O
Iraq	O
,	O
military	O
officials	O
said	EVENT
.	O

According	O
to	O
press	O
pool	O
reports	EVENT
,	O
U.S.	O
Marines	O
are	O
already	O
on	EVENT
the	O
outskirts	O
of	O
Kuwait	O
City	O
.	O

``	O
So	O
far	O
,	O
the	O
offensive	EVENT
is	O
progressing	EVENT
with	O
dramatic	O
success	O
,	O
''	O
said	EVENT
a	O
buoyant	O
Gen.	O
Norman	O
Schwarzkopf	O
,	O
commander	O
of	O
U.S.	O
forces	O
.	O

Similarly	O
,	O
while	O
cautioning	EVENT
about	O
the	O
uncertainty	EVENT
of	O
early	O
battle	EVENT
reports	EVENT
,	O
White	O
House	O
spokesman	O
Marlin	O
Fitzwater	O
said	EVENT
late	O
yesterday	O
that	O
``	O
the	O
operation	EVENT
has	O
been	O
very	O
successful	O
.	O
''	O

Amid	O
reports	EVENT
that	O
thousands	O
of	O
Iraqi	O
soldiers	O
had	O
surrendered	EVENT
,	O
administration	O
aides	O
were	O
also	O
upbeat	O
in	O
private	O
,	O
with	O
one	O
even	O
talking	EVENT
of	O
victory	EVENT
within	O
a	O
week	O
.	O

But	O
even	O
continued	EVENT
military	O
success	O
carries	EVENT
political	O
and	O
diplomatic	O
risks	EVENT
for	O
President	O
Bush	O
and	O
the	O
U.S	O
.	O

The	O
allied	O
rejection	EVENT
of	O
the	O
last-minute	O
Soviet-led	O
diplomatic	O
effort	EVENT
to	O
avoid	EVENT
the	O
ground	O
war	EVENT
enabled	EVENT
Mr.	O
Bush	O
to	O
seize	EVENT
the	O
initiative	O
from	O
an	O
Iraq	O
seemingly	O
bent	O
on	O
dictating	EVENT
peace	O
terms	O
.	O

But	O
it	O
has	O
offended	EVENT
some	O
,	O
especially	O
in	O
Arab	O
countries	O
,	O
who	O
now	O
believe	EVENT
that	O
Mr.	O
Bush	O
's	O
real	O
objectives	EVENT
are	O
the	O
demise	EVENT
of	O
Saddam	O
Hussein	O
and	O
the	O
destruction	EVENT
of	O
the	O
Iraqi	O
military	O
,	O
not	O
just	O
the	O
liberation	EVENT
of	O
Kuwait	O
.	O

``	O
Why	O
have	O
a	O
war	EVENT
?	O
''	O

asked	EVENT
Abdul	O
Latif	O
Shekar	O
,	O
a	O
customs	O
officer	O
in	O
Egypt	O
,	O
a	O
country	O
participating	EVENT
in	O
the	O
attack	EVENT
on	O
Iraqi	O
troops	O
.	O

``	O
I	O
think	EVENT
the	O
Gorbachev	O
plan	O
was	O
a	O
good	EVENT
one	O
.	O

Iraq	O
was	O
ready	O
to	O
withdraw	EVENT
.	O
''	O

Now	O
,	O
he	O
says	EVENT
,	O
``	O
it	O
looks	EVENT
like	O
the	O
West	O
just	O
wants	EVENT
to	O
destroy	EVENT
Iraq	O
.	O
''	O

Despite	O
the	O
early	O
indications	EVENT
of	O
success	O
,	O
the	O
allied	O
forces	O
could	O
still	O
suffer	EVENT
greater	O
casualties	EVENT
and	O
become	O
bogged	EVENT
down	O
militarily	O
,	O
especially	O
when	O
they	O
encounter	EVENT
the	O
tough	O
Republican	O
Guard	O
,	O
which	O
is	O
entrenched	EVENT
along	O
the	O
Iraq-Kuwait	O
border	O
.	O

If	O
so	O
,	O
and	O
if	O
it	O
appears	EVENT
that	O
the	O
American	O
goal	EVENT
actually	O
is	O
to	O
destroy	EVENT
the	O
Iraqi	O
regime	EVENT
even	O
at	O
the	O
cost	O
of	O
badly	O
hurting	EVENT
Iraqi	O
society	O
,	O
``	O
the	O
lingering	O
cost	O
of	O
that	O
could	O
be	O
high	O
,	O
''	O
worries	EVENT
former	O
national	O
security	O
adviser	O
Zbigniew	O
Brzezinski	O
.	O

But	O
,	O
he	O
notes	EVENT
,	O
``	O
If	O
everything	O
crumbles	EVENT
totally	O
,	O
that	O
wo	O
n't	O
be	O
such	O
a	O
problem	O
.	O
''	O

American	O
officials	O
staunchly	O
disavow	EVENT
any	O
interest	O
in	O
driving	EVENT
through	O
Iraq	O
toward	O
Baghdad	O
,	O
either	O
in	O
pursuit	EVENT
of	O
Saddam	O
Hussein	O
himself	O
or	O
to	O
set	EVENT
up	O
some	O
American-controlled	O
government	O
inside	O
Iraq	O
.	O

The	O
Americans	O
say	EVENT
their	O
battle	O
plans	O
call	EVENT
for	O
operating	EVENT
against	O
forces	O
inside	O
Iraq	O
as	O
far	O
north	O
as	O
the	O
city	O
of	O
Basra	O
,	O
about	O
30	O
miles	O
north	O
of	O
Kuwait	O
,	O
but	O
say	EVENT
there	O
is	O
n't	O
any	O
plan	O
to	O
drive	EVENT
beyond	O
that	O
.	O

Indeed	O
,	O
French	O
President	O
Francois	O
Mitterrand	O
said	EVENT
yesterday	O
that	O
some	O
allied	O
forces	O
are	O
crossing	EVENT
Iraqi	O
territory	O
as	O
part	O
of	O
a	O
``	O
pincer	O
''	O
movement	EVENT
to	O
trap	EVENT
the	O
soldiers	O
occupying	EVENT
Kuwait	O
,	O
but	O
insisted	EVENT
,	O
``	O
The	O
purpose	EVENT
is	O
n't	O
to	O
invade	O
Iraqi	O
territory	O
,	O
that	O
's	O
not	O
the	O
aim	O
,	O
that	O
is	O
n't	O
the	O
mandate	O
.	O
''	O

Nevertheless	O
,	O
American	O
officials	O
over	O
the	O
weekend	O
became	EVENT
more	O
open	EVENT
in	O
declaring	EVENT
that	O
by	O
destroying	EVENT
Saddam	O
Hussein	O
's	O
military	O
machine	O
they	O
hope	EVENT
to	O
destroy	EVENT
his	O
regime	EVENT
--	O
a	O
goal	EVENT
likely	O
to	O
be	O
supported	EVENT
by	O
most	O
Americans	O
.	O

In	O
a	O
pre-attack	O
message	EVENT
,	O
Lt.	O
Gen.	O
Walter	O
Boomer	O
,	O
the	O
top	O
Marine	O
in	O
the	O
Persian	O
Gulf	O
,	O
told	EVENT
U.S.	O
Marines	O
that	O
their	O
goal	EVENT
is	O
to	O
``	O
restore	EVENT
{	O
Kuwait	O
}	O
to	O
its	O
citizens	O
.	O
''	O

He	O
went	EVENT
on	O
to	O
add	EVENT
that	O
``	O
in	O
so	O
doing	EVENT
you	O
not	O
only	O
return	EVENT
a	O
nation	O
to	O
its	O
people	O
,	O
but	O
you	O
will	O
destroy	O
the	O
war	O
machine	O
of	O
a	O
ruthless	O
dictator	O
.	O
''	O

Secretary	O
of	O
State	O
James	O
Baker	O
said	EVENT
on	O
ABC-TV	O
's	O
``	O
This	O
Week	O
With	O
David	O
Brinkley	O
''	O
that	O
the	O
series	O
of	O
United	O
Nations	O
resolutions	EVENT
condemning	EVENT
Iraq	O
's	O
invasion	EVENT
of	O
Kuwait	O
``	O
imply	EVENT
that	O
the	O
restoration	EVENT
of	O
peace	EVENT
and	O
stability	EVENT
in	O
the	O
Gulf	O
would	O
be	O
a	O
heck	O
of	O
a	O
lot	O
easier	EVENT
if	O
he	O
and	O
that	O
leadership	EVENT
were	O
not	O
in	O
power	O
in	O
Iraq	O
.	O
''	O

Of	O
course	O
,	O
it	O
is	O
still	O
far	O
too	O
early	EVENT
to	O
assume	EVENT
that	O
the	O
military	O
situation	EVENT
on	O
the	O
ground	O
will	O
stay	O
as	O
smooth	O
for	O
allied	O
forces	O
as	O
it	O
appears	EVENT
to	O
have	O
been	O
so	O
far	O
.	O

Iraq	O
still	O
has	EVENT
the	O
potential	O
to	O
cause	EVENT
significant	O
problems	EVENT
by	O
using	EVENT
forces	O
and	O
weapons	O
that	O
do	O
n't	O
yet	O
seem	O
fully	O
engaged	EVENT
.	O

For	O
one	O
thing	O
,	O
Iraq	O
still	O
apparently	O
has	O
n't	O
unleashed	O
its	O
stockpile	O
of	O
chemical	O
weapons	O
.	O

Gen.	O
Schwarzkopf	O
said	EVENT
that	O
some	O
early	O
reports	EVENT
that	O
chemical	O
weapons	O
were	O
used	EVENT
against	O
allied	O
troops	O
turned	EVENT
out	O
to	O
be	O
``	O
bogus	O
.	O
''	O

Iraq	O
is	O
believed	EVENT
to	O
have	EVENT
the	O
ability	O
to	O
deliver	EVENT
chemical	O
weapons	O
in	O
artillery	O
shells	O
or	O
,	O
perhaps	O
,	O
atop	O
Soviet-made	O
Frog7	O
missiles	O
.	O

Perhaps	O
more	O
important	O
,	O
it	O
appears	EVENT
that	O
allied	O
troops	O
have	O
n't	O
yet	O
fully	O
engaged	O
Iraq	O
's	O
vaunted	O
Republican	O
Guard	O
,	O
which	O
has	O
been	O
sitting	EVENT
just	O
north	O
of	O
the	O
Iraq-Kuwait	O
border	O
and	O
is	O
considered	EVENT
the	O
most	O
potent	O
element	O
in	O
the	O
Iraqi	O
defense	EVENT
.	O

It	O
remains	EVENT
to	O
be	O
seen	EVENT
how	O
much	O
damage	EVENT
the	O
allied	O
air	O
campaign	EVENT
was	O
able	EVENT
to	O
inflict	EVENT
on	O
the	O
Guard	O
,	O
and	O
whether	O
President	O
Hussein	O
will	O
commit	O
his	O
most	O
valued	O
troops	O
to	O
a	O
fight-to-the-death	O
finish	EVENT
.	O

Certainly	O
Saddam	O
Hussein	O
continues	EVENT
to	O
implore	EVENT
his	O
country	O
to	O
fight	EVENT
on	O
.	O

``	O
Fight	EVENT
them	O
,	O
''	O
he	O
urged	EVENT
Iraqis	O
in	O
a	O
radio	O
address	EVENT
.	O

``	O
All	O
Iraqis	O
,	O
fight	EVENT
them	O
with	O
all	O
the	O
power	O
you	O
have	EVENT
,	O
and	O
all	O
struggle	EVENT
for	O
everything	O
.	O
''	O

American	O
war	O
planners	O
have	O
long	O
assumed	EVENT
that	O
the	O
early	O
stage	O
of	O
the	O
ground	O
attack	EVENT
,	O
in	O
which	O
American	O
forces	O
would	O
use	EVENT
their	O
speed	O
to	O
sweep	EVENT
around	O
Iraqi	O
defenses	O
and	O
their	O
strength	O
to	O
punch	EVENT
through	O
the	O
relatively	O
weak	O
Iraqi	O
front	O
line	O
,	O
would	O
be	O
the	O
easiest	EVENT
part	O
.	O

Despite	O
these	O
early	O
successes	O
,	O
the	O
mere	O
fact	O
that	O
a	O
ground	O
campaign	EVENT
has	O
begun	EVENT
almost	O
guarantees	EVENT
that	O
the	O
Bush	O
administration	O
will	O
face	O
fresh	O
problems	EVENT
growing	EVENT
out	O
of	O
the	O
military	O
situation	EVENT
.	O

There	O
are	O
likely	O
to	O
be	O
additional	O
American	O
prisoners	O
of	O
war	O
taken	O
,	O
and	O
there	O
are	O
signs	EVENT
that	O
President	O
Hussein	O
is	O
taking	EVENT
Kuwaiti	O
hostages	O
.	O

U.S.	O
and	O
Kuwaiti	O
officials	O
say	EVENT
there	O
are	O
reports	EVENT
that	O
large	O
numbers	O
of	O
civilians	O
from	O
Kuwait	O
City	O
are	O
being	O
rounded	EVENT
up	O
and	O
held	EVENT
by	O
Iraqi	O
troops	O
,	O
apparently	O
either	O
for	O
use	EVENT
as	O
human	O
shields	O
or	O
for	O
use	EVENT
later	O
in	O
bargaining	EVENT
once	O
the	O
war	EVENT
is	O
over	O
.	O

President	O
Bush	O
's	O
political	O
argument	EVENT
for	O
going	EVENT
to	O
a	O
ground	O
war	EVENT
has	O
been	O
strengthened	EVENT
by	O
the	O
growing	O
stream	O
of	O
reports	EVENT
of	O
wanton	O
Iraqi	O
destruction	EVENT
inside	O
Kuwait	O
.	O

U.S.	O
officials	O
say	EVENT
that	O
hundreds	O
of	O
Kuwaiti	O
oil	O
wells	O
now	O
may	O
have	O
been	O
set	EVENT
afire	EVENT
.	O

And	O
Robert	O
Gates	O
,	O
Mr.	O
Bush	O
's	O
deputy	O
national	O
security	O
adviser	O
,	O
asserted	EVENT
in	O
an	O
interview	EVENT
on	O
the	O
Cable	O
News	O
Network	O
that	O
Iraqi	O
troops	O
have	O
set	EVENT
fire	EVENT
to	O
``	O
large	O
sections	O
''	O
of	O
Kuwait	O
City	O
.	O

Mr.	O
Bush	O
and	O
his	O
aides	O
were	O
leaning	EVENT
toward	O
a	O
military	O
conclusion	EVENT
of	O
the	O
crisis	EVENT
even	O
before	O
the	O
latest	O
reports	EVENT
of	O
Iraqi	O
atrocities	EVENT
in	O
Kuwait	O
came	EVENT
to	O
light	O
.	O

The	O
president	O
and	O
his	O
top	O
aides	O
tentatively	O
decided	EVENT
on	O
Feb.	O
11	O
that	O
a	O
ground	O
war	EVENT
would	O
be	O
necessary	EVENT
.	O

The	O
decision	EVENT
was	O
made	EVENT
after	O
Defense	O
Secretary	O
Dick	O
Cheney	O
and	O
Gen.	O
Colin	O
Powell	O
,	O
chairman	O
of	O
the	O
Joint	O
Chiefs	O
of	O
Staff	O
,	O
returned	EVENT
